key	d	u	pp	ht	ft	digraph	trial	name
t	1479588379.56	1479588379.66		0.0969848632812			0	Aaron
h	1479588379.67	1479588379.73	0.113107919693	0.0554840564728	0.0576238632202	t-h	0	Aaron
e	1479588379.8	1479588379.85	0.124164104462	0.051234960556	0.0729291439056	h-e	0	Aaron
 	1479588379.88	1479588379.95	0.0833649635315	0.0721960067749	0.0111689567566	e- 	0	Aaron
q	1479588379.98	1479588380.06	0.104583024979	0.0797820091248	0.0248010158539	 -q	0	Aaron
u	1479588380.07	1479588380.14	0.0876860618591	0.0719509124756	0.0157351493835	q-u	0	Aaron
i	1479588380.18	1479588380.26	0.104146003723	0.0877737998962	0.0163722038269	u-i	0	Aaron
c	1479588380.3	1479588380.37	0.119585990906	0.0722029209137	0.0473830699921	i-c	0	Aaron
k	1479588380.38	1479588380.46	0.0804498195648	0.0877981185913	-0.00734829902649	c-k	0	Aaron
 	1479588380.46	1479588380.54	0.0801150798798	0.0793559551239	0.000759124755859	k- 	0	Aaron
b	1479588380.57	1479588380.62	0.111977100372	0.0559618473053	0.056015253067	 -b	0	Aaron
r	1479588380.7	1479588380.78	0.135893821716	0.0719020366669	0.0639917850494	b-r	0	Aaron
o	1479588380.83	1479588380.92	0.127926111221	0.0879590511322	0.0399670600891	r-o	0	Aaron
w	1479588381.01	1479588381.07	0.176404953003	0.0637481212616	0.112656831741	o-w	0	Aaron
n	1479588381.05	1479588381.14	0.0397610664368	0.0955629348755	-0.0558018684387	w-n	0	Aaron
 	1479588381.14	1479588381.22	0.088005065918	0.0798108577728	0.00819420814514	n- 	0	Aaron
f	1479588381.28	1479588381.37	0.143608808517	0.0880770683289	0.0555317401886	 -f	0	Aaron
o	1479588381.4	1479588381.47	0.120562076569	0.0713028907776	0.049259185791	f-o	0	Aaron
x	1479588381.55	1479588381.64	0.151755094528	0.0875217914581	0.0642333030701	o-x	0	Aaron
 	1479588381.68	1479588381.74	0.127967834473	0.0636510848999	0.0643167495728	x- 	0	Aaron
j	1479588381.91	1479588381.96	0.230031013489	0.0495159626007	0.180515050888	 -j	0	Aaron
u	1479588382.02	1479588382.12	0.11420917511	0.0901098251343	0.0240993499756	j-u	0	Aaron
m	1479588382.17	1479588382.26	0.148672819138	0.0826261043549	0.0660467147827	u-m	0	Aaron
p	1479588382.24	1479588382.32	0.0671429634094	0.079784154892	-0.0126411914825	m-p	0	Aaron
e	1479588382.35	1479588382.42	0.108190059662	0.0671670436859	0.041023015976	p-e	0	Aaron
d	1479588382.43	1479588382.5	0.0838141441345	0.0640368461609	0.0197772979736	e-d	0	Aaron
 	1479588382.5	1479588382.58	0.0641939640045	0.0823378562927	-0.0181438922882	d- 	0	Aaron
o	1479588382.63	1479588382.69	0.135679006577	0.0556788444519	0.0800001621246	 -o	0	Aaron
v	1479588382.76	1479588382.82	0.127954006195	0.0640299320221	0.063924074173	o-v	0	Aaron
 	1479588382.88	1479588382.96	0.120151996613	0.0806670188904	0.0394849777222	v- 	0	Aaron
e	1479588382.96	1479588383.04	0.0801239013672	0.0800330638885	9.08374786377e-05	 -e	0	Aaron
r	1479588383.01	1479588383.11	0.0479919910431	0.103557109833	-0.0555651187897	e-r	0	Aaron
 	1479588383.14	1479588383.19	0.127490997314	0.0561311244965	0.071359872818	r- 	0	Aaron
t	1479588383.22	1479588383.29	0.0804131031036	0.0716259479523	0.00878715515137	 -t	0	Aaron
h	1479588383.26	1479588383.32	0.0423319339752	0.0649280548096	-0.0225961208344	t-h	0	Aaron
e	1479588383.38	1479588383.46	0.125431060791	0.0720658302307	0.0533652305603	h-e	0	Aaron
 	1479588383.47	1479588383.56	0.0896518230438	0.0860412120819	0.00361061096191	e- 	0	Aaron
del	1479588383.97	1479588384.02	0.494294166565	0.0559220314026	0.438372135162	 -del	0	Aaron
del	1479588384.1	1479588384.15	0.128022909164	0.0555889606476	0.0724339485168	del-del	0	Aaron
del	1479588384.22	1479588384.29	0.120237112045	0.071653842926	0.0485832691193	del-del	0	Aaron
del	1479588384.35	1479588384.42	0.135901927948	0.0718410015106	0.0640609264374	del-del	0	Aaron
del	1479588384.48	1479588384.55	0.127821922302	0.0719549655914	0.0558669567108	del-del	0	Aaron
del	1479588384.62	1479588384.69	0.13621711731	0.071799993515	0.0644171237946	del-del	0	Aaron
del	1479588384.74	1479588384.82	0.127901077271	0.0716238021851	0.0562772750854	del-del	0	Aaron
del	1479588385.08	1479588385.15	0.336062908173	0.0716290473938	0.264433860779	del-del	0	Aaron
e	1479588385.22	1479588385.33	0.144056081772	0.103464841843	0.0405912399292	del-e	0	Aaron
r	1479588385.3	1479588385.39	0.0717599391937	0.0933649539948	-0.021605014801	e-r	0	Aaron
 	1479588385.38	1479588385.45	0.0803170204163	0.0715539455414	0.00876307487488	r- 	0	Aaron
t	1479588385.49	1479588385.56	0.111877918243	0.0713579654694	0.040519952774	 -t	0	Aaron
h	1479588385.54	1479588385.59	0.055958032608	0.0477700233459	0.00818800926208	t-h	0	Aaron
e	1479588385.65	1479588385.71	0.103874921799	0.0638251304626	0.0400497913361	h-e	0	Aaron
 	1479588385.73	1479588385.8	0.0800311565399	0.0715417861938	0.00848937034607	e- 	0	Aaron
l	1479588385.9	1479588385.97	0.176012992859	0.0642039775848	0.111809015274	 -l	0	Aaron
a	1479588386.03	1479588386.11	0.125910997391	0.0835468769073	0.0423641204834	l-a	0	Aaron
x	1479588386.18	1479588386.27	0.154233932495	0.0878899097443	0.0663440227509	a-x	0	Aaron
del	1479588386.67	1479588386.74	0.487879037857	0.0638139247894	0.424065113068	x-del	0	Aaron
z	1479588386.78	1479588386.86	0.112040996552	0.0719079971313	0.0401329994202	del-z	0	Aaron
y	1479588386.84	1479588386.9	0.0556859970093	0.064041852951	-0.00835585594177	z-y	0	Aaron
 	1479588386.94	1479588387.03	0.0975379943848	0.0945639610291	0.00297403335571	y- 	0	Aaron
d	1479588387.23	1479588387.3	0.294713973999	0.0637769699097	0.230937004089	 -d	0	Aaron
o	1479588387.31	1479588387.38	0.0801429748535	0.063826084137	0.0163168907166	d-o	0	Aaron
g	1479588387.47	1479588387.53	0.159614086151	0.0559089183807	0.10370516777	o-g	0	Aaron
 	1479588387.57	1479588387.63	0.0962328910828	0.0637791156769	0.0324537754059	g- 	0	Aaron
a	1479588387.66	1479588387.74	0.0960249900818	0.0797851085663	0.0162398815155	 -a	0	Aaron
n	1479588387.75	1479588387.8	0.0896239280701	0.0463001728058	0.0433237552643	a-n	0	Aaron
d	1479588387.83	1479588387.9	0.0781941413879	0.0719919204712	0.00620222091675	n-d	0	Aaron
 	1479588387.93	1479588388.02	0.0959389209747	0.0879580974579	0.00798082351685	d- 	0	Aaron
r	1479588388.1	1479588388.17	0.167685985565	0.0723869800568	0.0952990055084	 -r	0	Aaron
a	1479588388.21	1479588388.27	0.112542152405	0.0632719993591	0.0492701530457	r-a	0	Aaron
n	1479588388.3	1479588388.36	0.0963218212128	0.0555510520935	0.0407707691193	a-n	0	Aaron
 	1479588388.38	1479588388.46	0.0796871185303	0.0717260837555	0.00796103477478	n- 	0	Aaron
o	1479588388.49	1479588388.53	0.103762865067	0.0399081707001	0.0638546943665	 -o	0	Aaron
a	1479588388.59	1479588388.66	0.10452413559	0.0635240077972	0.0410001277924	o-a	0	Aaron
