key	d	u	pp	ht	ft	digraph	trial	name
t	1479593424.76	1479593425.02		0.263701915741			0	Joe
h	1479593424.84	1479593424.96	0.0798029899597	0.119565963745	-0.0397629737854	t-h	0	Joe
e	1479593424.91	1479593425.05	0.0720279216766	0.143779039383	-0.0717511177063	h-e	0	Joe
 	1479593425.03	1479593425.12	0.119734048843	0.0882470607758	0.0314869880676	e- 	0	Joe
q	1479593425.44	1479593425.56	0.410515069962	0.117513895035	0.293001174927	 -q	0	Joe
u	1479593425.61	1479593425.69	0.17333984375	0.0801520347595	0.0931878089905	q-u	0	Joe
i	1479593425.77	1479593425.85	0.152354955673	0.0878510475159	0.0645039081573	u-i	0	Joe
c	1479593425.9	1479593426.04	0.136126995087	0.135490179062	0.00063681602478	i-c	0	Joe
k	1479593426.01	1479593426.09	0.111409187317	0.0802719593048	0.0311372280121	c-k	0	Joe
 	1479593426.71	1479593426.78	0.69638299942	0.0719399452209	0.624443054199	k- 	0	Joe
b	1479593427.02	1479593427.17	0.312119960785	0.143687963486	0.168431997299	 -b	0	Joe
r	1479593427.12	1479593427.25	0.0985469818115	0.131651878357	-0.0331048965454	b-r	0	Joe
o	1479593427.4	1479593427.49	0.277419090271	0.0955979824066	0.181821107864	r-o	0	Joe
w	1479593427.53	1479593427.65	0.127989768982	0.120616197586	0.00737357139587	o-w	0	Joe
n	1479593427.65	1479593427.78	0.120163202286	0.135420799255	-0.0152575969696	w-n	0	Joe
 	1479593427.82	1479593427.91	0.175849914551	0.0877060890198	0.088143825531	n- 	0	Joe
f	1479593427.92	1479593428.04	0.0958800315857	0.119991064072	-0.024111032486	 -f	0	Joe
o	1479593428.07	1479593428.16	0.152158021927	0.087718963623	0.0644390583038	f-o	0	Joe
x	1479593428.24	1479593428.38	0.167901992798	0.143846035004	0.0240559577942	o-x	0	Joe
 	1479593428.35	1479593428.44	0.112040042877	0.087611913681	0.0244281291962	x- 	0	Joe
j	1479593429.07	1479593429.16	0.719816923141	0.0878789424896	0.631937980652	 -j	0	Joe
u	1479593429.22	1479593429.27	0.151669025421	0.0500309467316	0.10163807869	j-u	0	Joe
m	1479593429.41	1479593429.47	0.192452907562	0.0556890964508	0.136763811111	u-m	0	Joe
o	1479593429.84	1479593429.93	0.423699140549	0.0880918502808	0.335607290268	m-o	0	Joe
e	1479593429.98	1479593430.16	0.144867897034	0.175197124481	-0.0303292274475	o-e	0	Joe
d	1479593430.07	1479593430.18	0.0896348953247	0.109416007996	-0.0197811126709	e-d	0	Joe
 	1479593430.17	1479593430.27	0.101816177368	0.0956869125366	0.00612926483154	d- 	0	Joe
del	1479593430.72	1479593430.78	0.543875932693	0.0638089179993	0.480067014694	 -del	0	Joe
del	1479593430.86	1479593430.92	0.144170045853	0.0556409358978	0.0885291099548	del-del	0	Joe
del	1479593431.0	1479593431.05	0.135705947876	0.055783033371	0.079922914505	del-del	0	Joe
del	1479593431.14	1479593431.21	0.144164085388	0.0716848373413	0.0724792480469	del-del	0	Joe
p	1479593432.19	1479593432.29	1.05055499077	0.0963408946991	0.954214096069	del-p	0	Joe
