key	d	u	pp	ht	ft	digraph	trial	name
t	1479598223.66	1479598223.75		0.0950751304626			0	LUKE
h	1479598223.74	1479598223.83	0.0793430805206	0.0878698825836	-0.00852680206299	t-h	0	LUKE
e	1479598223.8	1479598223.9	0.0571510791779	0.103509902954	-0.0463588237762	h-e	0	LUKE
 	1479598223.92	1479598224.01	0.119031906128	0.0952141284943	0.0238177776337	e- 	0	LUKE
q	1479598224.04	1479598224.15	0.127648115158	0.107475996017	0.0201721191406	 -q	0	LUKE
u	1479598224.1	1479598224.18	0.0559918880463	0.0806789398193	-0.0246870517731	q-u	0	LUKE
i	1479598224.26	1479598224.34	0.160280942917	0.0797820091248	0.0804989337921	u-i	0	LUKE
c	1479598224.35	1479598224.47	0.0959620475769	0.119771003723	-0.0238089561462	i-c	0	LUKE
k	1479598224.45	1479598224.55	0.096009016037	0.0962650775909	-0.000256061553955	c-k	0	LUKE
 	1479598224.58	1479598224.67	0.128667116165	0.0868318080902	0.041835308075	k- 	0	LUKE
b	1479598224.71	1479598224.79	0.127066850662	0.0799961090088	0.0470707416534	 -b	0	LUKE
r	1479598224.89	1479598224.99	0.183618068695	0.0963618755341	0.087256193161	b-r	0	LUKE
o	1479598224.96	1479598225.03	0.0669188499451	0.0696291923523	-0.00271034240723	r-o	0	LUKE
w	1479598225.07	1479598225.17	0.117420196533	0.0955958366394	0.0218243598938	o-w	0	LUKE
n	1479598225.16	1479598225.26	0.0892198085785	0.0944271087646	-0.00520730018616	w-n	0	LUKE
 	1479598225.25	1479598225.34	0.0869932174683	0.0862948894501	0.000698328018188	n- 	0	LUKE
f	1479598225.36	1479598225.46	0.112021923065	0.0952060222626	0.0168159008026	 -f	0	LUKE
o	1479598225.44	1479598225.53	0.0746638774872	0.0929911136627	-0.0183272361755	f-o	0	LUKE
x	1479598225.59	1479598225.72	0.157377004623	0.127799034119	0.0295779705048	o-x	0	LUKE
 	1479598225.72	1479598225.8	0.12791800499	0.0796620845795	0.0482559204102	x- 	0	LUKE
j	1479598225.96	1479598226.08	0.236047029495	0.123541116714	0.112505912781	 -j	0	LUKE
u	1479598226.13	1479598226.22	0.168702125549	0.0909600257874	0.077742099762	j-u	0	LUKE
m	1479598226.27	1479598226.45	0.139204025269	0.185612916946	-0.0464088916779	u-m	0	LUKE
p	1479598226.35	1479598226.47	0.088042974472	0.119582891464	-0.0315399169922	m-p	0	LUKE
e	1479598226.46	1479598226.54	0.103523015976	0.0799829959869	0.023540019989	p-e	0	LUKE
d	1479598226.62	1479598226.71	0.161063909531	0.086935043335	0.0741288661957	e-d	0	LUKE
 	1479598226.69	1479598226.79	0.0657520294189	0.102128982544	-0.036376953125	d- 	0	LUKE
o	1479598226.79	1479598226.87	0.101671934128	0.0879759788513	0.0136959552765	 -o	0	LUKE
v	1479598226.87	1479598226.97	0.0881271362305	0.0952098369598	-0.00708270072937	o-v	0	LUKE
e	1479598227.02	1479598227.12	0.146457910538	0.101109027863	0.0453488826752	v-e	0	LUKE
r	1479598227.09	1479598227.17	0.0692429542542	0.0809309482574	-0.0116879940033	e-r	0	LUKE
 	1479598227.15	1479598227.22	0.0642991065979	0.0640828609467	0.000216245651245	r- 	0	LUKE
t	1479598227.24	1479598227.34	0.0880579948425	0.095556974411	-0.00749897956848	 -t	0	LUKE
h	1479598227.33	1479598227.4	0.0878820419312	0.0714569091797	0.0164251327515	t-h	0	LUKE
e	1479598227.39	1479598227.52	0.0638539791107	0.120312929153	-0.0564589500427	h-e	0	LUKE
 	1479598227.45	1479598227.55	0.0563418865204	0.0968940258026	-0.0405521392822	e- 	0	LUKE
l	1479598227.52	1479598227.62	0.0640821456909	0.104619979858	-0.0405378341675	 -l	0	LUKE
a	1479598227.62	1479598227.72	0.104054927826	0.103337049484	0.000717878341675	l-a	0	LUKE
z	1479598227.83	1479598227.94	0.207584857941	0.111873149872	0.0957117080688	a-z	0	LUKE
y	1479598228.04	1479598228.17	0.215703010559	0.131280183792	0.084422826767	z-y	0	LUKE
 	1479598228.17	1479598228.24	0.131411075592	0.0686149597168	0.0627961158752	y- 	0	LUKE
d	1479598228.34	1479598228.42	0.163321018219	0.0810880661011	0.0822329521179	 -d	0	LUKE
o	1479598228.4	1479598228.5	0.0650849342346	0.0963079929352	-0.0312230587006	d-o	0	LUKE
g	1479598228.52	1479598228.64	0.120536088943	0.116265058517	0.00427103042603	o-g	0	LUKE
 	1479598228.63	1479598228.7	0.103318929672	0.0787229537964	0.0245959758759	g- 	0	LUKE
a	1479598228.75	1479598228.84	0.121233940125	0.0948550701141	0.0263788700104	 -a	0	LUKE
n	1479598228.83	1479598228.93	0.0790450572968	0.108258962631	-0.0292139053345	a-n	0	LUKE
d	1479598228.91	1479598228.99	0.0803401470184	0.0877978801727	-0.0074577331543	n-d	0	LUKE
 	1479598229.0	1479598229.07	0.0959408283234	0.0675621032715	0.0283787250519	d- 	0	LUKE
r	1479598229.11	1479598229.24	0.105919122696	0.131562948227	-0.025643825531	 -r	0	LUKE
a	1479598229.21	1479598229.32	0.102114915848	0.111793041229	-0.00967812538147	r-a	0	LUKE
n	1479598229.27	1479598229.37	0.0638930797577	0.0961060523987	-0.032212972641	a-n	0	LUKE
 	1479598229.44	1479598229.53	0.16806101799	0.0875220298767	0.0805389881134	n- 	0	LUKE
a	1479598229.57	1479598229.67	0.128345012665	0.103322982788	0.0250220298767	 -a	0	LUKE
l	1479598229.64	1479598229.69	0.0715878009796	0.0478370189667	0.0237507820129	a-l	0	LUKE
l	1479598229.74	1479598229.82	0.0961391925812	0.079708814621	0.0164303779602	l-l	0	LUKE
 	1479598229.81	1479598229.88	0.0719239711761	0.0717880725861	0.000135898590088	l- 	0	LUKE
