key	d	u	pp	ht	ft	digraph	trial	name
t	1479598940.13	1479598940.26		0.127977848053			0	Tiffany
h	1479598940.24	1479598940.34	0.104059934616	0.103786945343	0.000272989273071	t-h	0	Tiffany
e	1479598940.39	1479598940.48	0.152653932571	0.0951280593872	0.0575258731842	h-e	0	Tiffany
del	1479598940.62	1479598940.67	0.231992006302	0.0548901557922	0.17710185051	e-del	0	Tiffany
del	1479598940.75	1479598940.8	0.127031087875	0.0480279922485	0.0790030956268	del-del	0	Tiffany
del	1479598940.84	1479598940.89	0.0881199836731	0.057991027832	0.0301289558411	del-del	0	Tiffany
t	1479598944.45	1479598944.56	3.61890292168	0.102647066116	3.51625585556	del-t	0	Tiffany
h	1479598944.5	1479598944.56	0.0465500354767	0.0640940666199	-0.0175440311432	t-h	0	Tiffany
e	1479598944.59	1479598944.71	0.0881731510162	0.119649887085	-0.0314767360687	h-e	0	Tiffany
 	1479598944.65	1479598944.72	0.0641047954559	0.0716471672058	-0.00754237174988	e- 	0	Tiffany
q	1479598944.86	1479598944.99	0.207926034927	0.127980947495	0.0799450874329	 -q	0	Tiffany
u	1479598944.92	1479598945.05	0.0637531280518	0.128018856049	-0.0642657279968	q-u	0	Tiffany
i	1479598945.01	1479598945.08	0.0880060195923	0.0643939971924	0.0236120223999	u-i	0	Tiffany
c	1479598945.09	1479598945.21	0.0802760124207	0.116600990295	-0.0363249778748	i-c	0	Tiffany
k	1479598945.2	1479598945.29	0.104004859924	0.0958869457245	0.00811791419983	c-k	0	Tiffany
 	1479598945.26	1479598945.36	0.0647449493408	0.0950100421906	-0.0302650928497	k- 	0	Tiffany
b	1479598945.31	1479598945.39	0.0470361709595	0.0836629867554	-0.0366268157959	 -b	0	Tiffany
r	1479598945.48	1479598945.58	0.168344020844	0.103486776352	0.0648572444916	b-r	0	Tiffany
o	1479598945.54	1479598945.61	0.0637209415436	0.0719590187073	-0.0082380771637	r-o	0	Tiffany
w	1479598945.63	1479598945.76	0.0881240367889	0.135512828827	-0.047388792038	o-w	0	Tiffany
n	1479598945.7	1479598945.82	0.0719819068909	0.120393037796	-0.0484111309052	w-n	0	Tiffany
 	1479598945.79	1479598945.86	0.0882630348206	0.0711760520935	0.0170869827271	n- 	0	Tiffany
f	1479598945.84	1479598945.92	0.0477499961853	0.0877640247345	-0.0400140285492	 -f	0	Tiffany
o	1479598945.93	1479598946.03	0.0960378646851	0.0957560539246	0.000281810760498	f-o	0	Tiffany
x	1479598946.02	1479598946.13	0.0884780883789	0.110798120499	-0.0223200321198	o-x	0	Tiffany
 	1479598946.13	1479598946.18	0.108932971954	0.0502460002899	0.0586869716644	x- 	0	Tiffany
j	1479598946.22	1479598946.29	0.0911331176758	0.0710649490356	0.0200681686401	 -j	0	Tiffany
u	1479598946.35	1479598946.41	0.127362012863	0.0637948513031	0.0635671615601	j-u	0	Tiffany
m	1479598946.49	1479598946.64	0.144017934799	0.14365196228	0.000365972518921	u-m	0	Tiffany
p	1479598946.59	1479598946.7	0.0968129634857	0.111134052277	-0.0143210887909	m-p	0	Tiffany
e	1479598946.61	1479598946.7	0.0229849815369	0.0880329608917	-0.0650479793549	p-e	0	Tiffany
d	1479598946.76	1479598946.84	0.144263982773	0.0871660709381	0.0570979118347	e-d	0	Tiffany
 	1479598946.84	1479598946.97	0.0799920558929	0.135647058487	-0.055655002594	d- 	0	Tiffany
o	1479598946.9	1479598947.04	0.0638821125031	0.13579082489	-0.0719087123871	 -o	0	Tiffany
v	1479598946.94	1479598947.02	0.0399539470673	0.080265045166	-0.0403110980988	o-v	0	Tiffany
e	1479598947.1	1479598947.19	0.160055875778	0.0882430076599	0.0718128681183	v-e	0	Tiffany
