key	d	u	pp	ht	ft	digraph	trial	name
t	1479602416.41	1479602416.51		0.102051019669			0	garret
h	1479602416.49	1479602416.61	0.0782601833344	0.128367900848	-0.050107717514	t-h	0	garret
e	1479602416.54	1479602416.67	0.056599855423	0.127701997757	-0.071102142334	h-e	0	garret
 	1479602416.75	1479602416.84	0.208089113235	0.0876789093018	0.120410203934	e- 	0	garret
q	1479602416.86	1479602416.97	0.111917972565	0.111788034439	0.00012993812561	 -q	0	garret
u	1479602416.95	1479602417.12	0.0880439281464	0.167504072189	-0.079460144043	q-u	0	garret
i	1479602417.03	1479602417.13	0.0816869735718	0.101961135864	-0.0202741622925	u-i	0	garret
c	1479602417.09	1479602417.21	0.0541801452637	0.119781970978	-0.0656018257141	i-c	0	garret
k	1479602417.23	1479602417.37	0.143993854523	0.135787010193	0.00820684432983	c-k	0	garret
 	1479602417.32	1479602417.41	0.0879600048065	0.0879130363464	4.6968460083e-05	k- 	0	garret
b	1479602417.68	1479602417.72	0.359945058823	0.039794921875	0.320150136948	 -b	0	garret
r	1479602417.81	1479602417.92	0.13591504097	0.100756883621	0.0351581573486	b-r	0	garret
o	1479602417.88	1479602417.99	0.064267873764	0.111708164215	-0.047440290451	r-o	0	garret
w	1479602417.97	1479602418.07	0.0878870487213	0.103810071945	-0.0159230232239	o-w	0	garret
n	1479602418.04	1479602418.2	0.0717329978943	0.160217046738	-0.0884840488434	w-n	0	garret
 	1479602418.17	1479602418.25	0.128234148026	0.0878868103027	0.0403473377228	n- 	0	garret
f	1479602418.44	1479602418.52	0.272036790848	0.0765740871429	0.195462703705	 -f	0	garret
o	1479602418.54	1479602418.66	0.103622198105	0.119838953018	-0.0162167549133	f-o	0	garret
r	1479602418.61	1479602418.67	0.0724749565125	0.0554130077362	0.0170619487762	o-r	0	garret
del	1479602419.25	1479602419.37	0.639621973038	0.112029075623	0.527592897415	r-del	0	garret
x	1479602419.42	1479602419.51	0.161725997925	0.0942919254303	0.0674340724945	del-x	0	garret
